Nombre,Peso,Categoria,Año,BV,Precio,A,C,V,Tech Base,Flamer,MG,Small Laser,Medium Laser,Large Laser,ER Small Laser,ER Medium Laser,ER Large Laser,Small Pulse Laser,Medium Pulse Laser,Large Pulse Laser,Heavy Small Laser,Heavy Medium Laser,Heavy Large Laser,PPC,ER PPC,Snub-Nose PPC,Heavy PPC,LRM 5,LRM 10,LRM 15,LRM 20,SRM 2,SRM 4,SRM 6,Streak SRM 2,Streak SRM 4,Streak SRM 6,MRM 10,MRM 20,MRM 30,MRM 40,ATM 3,ATM 6,ATM 9,ATM 12,AC 2,AC 5,AC 10,AC 20,Ultra AC 2,Ultra AC 5,Ultra AC 10,Ultra AC 20,LB 2-X,LB 5-X,LB 10-X,LB 20-X,RAC 2,RAC 5,Gauss Rifle,Heavy Gauss,Plasma Rifle / Cannon,Radiadores,TB,PB,Piernas,Blindaje,Disipacion,TLP,Calor,Daño,Reactor,PROPIEDAD,Comprado,Unidad
Annihilator ANH-4A Annihilator,100,Asalto,3069,1726,10162666,2,3,0,Inner Sphere,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,15,"14,5",232,2,Estandar,Double,30,,34,50,Fusion Engine,Compra,NO
Annihilator C 2 Annihilator,100,Asalto,2850,2722,9741166,2,3,0,Clan,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,11,"16,0",256,2,Estandar,Double,22,,21,73,Fusion Engine,Compra,NO
Annihilator C 3 Annihilator,100,Asalto,3070,2823,9808666,2,3,0,Clan,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,11,"18,5",296,2,Estandar,Double,22,,24,80,Fusion Engine,Compra,NO
Annihilator C 'Gausszilla' Annihilator,100,Asalto,2848,2455,9616666,2,3,0,Clan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,10,"13,5",216,2,Estandar,Double,20,,5,75,Fusion Engine,Compra,NO
Annihilator C Annihilator,100,Asalto,2848,2520,11580000,3,5,0,Clan,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,12,"16,0",256,2,Estandar,Double,24,,36,60,Fusion Engine,Compra,NO
Antlion LK-3D Antlion,45,Medio,3117,859,8233875,5,8,0,Mixed,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"10,1",161,4,Ferro Fibroso,Double,20,,0,4,XL Engine,Compra,NO
Anubis ABS-3L Anubis,30,Ligero,3063,951,5144525,8,12,0,Inner Sphere,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"5,5",88,2,Furtivo,Double,20,,10,23,XL Engine,Compra,NO
Anubis ABS-3R Anubis,30,Ligero,3064,970,5261525,8,12,0,Inner Sphere,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"6,6",105,2,Furtivo,Double,20,,6,13,XL Engine,Compra,NO
Anubis ABS-3T Anubis,30,Ligero,3067,1150,5440175,8,12,0,Inner Sphere,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"5,5",88,2,Furtivo,Double,24,,24,21,XL Engine,Compra,NO
Anubis ABS-4C Anubis,30,Ligero,3082,833,5257650,8,12,0,Inner Sphere,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"6,0",96,2,Furtivo,Double,20,,4,6,XL Engine,Compra,NO
Anubis ANB-5Y Anubis,30,Ligero,3121,1042,5129900,7,11,0,Inner Sphere,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"5,5",88,2,Furtivo,Double,20,,24,30,XL Engine,Compra,NO
Anubis ANB-5Z Anubis,30,Ligero,3124,1066,5257900,7,11,0,Inner Sphere,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"6,5",104,2,Furtivo,Double,20,,16,26,XL Engine,Compra,NO
Anvil ANV-3M Anvil,60,Pesado,3055,1441,5856960,5,8,3,Inner Sphere,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"9,5",152,2,Estandar,Double,24,,26,28,Fusion Engine,Compra,NO
Anvil ANV-3R Anvil,60,Pesado,3067,1496,5732160,5,8,0,Inner Sphere,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"12,5",200,2,Estandar,Double,24,,26,28,Fusion Engine,Compra,NO
Anvil ANV-5M Anvil,60,Pesado,3057,1687,6372160,5,8,5,Inner Sphere,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"9,5",152,2,Estandar,Double,24,,36,36,Fusion Engine,Compra,NO
Anvil ANV-5Q Anvil,60,Pesado,3067,1336,5548160,5,8,3,Inner Sphere,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,"9,0",144,2,Estandar,Double,28,,26,28,Fusion Engine,Compra,NO
Anvil ANV-6M Anvil,60,Pesado,3058,1366,5872960,5,8,3,Inner Sphere,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"9,5",152,2,Estandar,Double,24,,23,23,Fusion Engine,Compra,NO
Anvil ANV-8M Anvil,60,Pesado,3060,1690,7153480,4,6,0,Inner Sphere,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"9,5",152,2,Estandar,Double,20,,22,18,Fusion Engine,Compra,NO
Anzu ZU-G60 Anzu,60,Pesado,3098,1503,10932800,4,6,4,Inner Sphere,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,10,"11,0",176,2,Estandar,Double,20,,23,35,XL Engine,Compra,NO
Anzu ZU-J70 Anzu,60,Pesado,3106,1680,11095800,4,6,4,Inner Sphere,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,10,"11,0",176,2,Estandar,Double,20,,18,23,XL Engine,Compra,NO
Apollo APL-1M Apollo,55,Medio,3054,1207,4920173,4,6,0,Inner Sphere,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"11,5",184,2,Estandar,Double,20,,14,36,Fusion Engine,Compra,NO
Apollo APL-1R Apollo,55,Medio,3056,1148,4550173,4,6,0,Inner Sphere,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"11,5",184,2,Estandar,Double,20,,14,36,Fusion Engine,Compra,NO
Apollo APL-2S Apollo,55,Medio,3056,1283,4994573,4,6,0,Inner Sphere,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"11,5",184,2,Estandar,Double,20,,16,40,Fusion Engine,Compra,NO
Apollo APL-3T Apollo,55,Medio,3057,1240,4948073,4,6,0,Inner Sphere,,,,2,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"11,5",184,2,Estandar,Double,20,,22,42,Fusion Engine,Compra,NO
Apollo APL-4M Apollo,55,Medio,3083,1302,9654623,4,6,0,Inner Sphere,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"11,2",179,2,Ferro Fibroso,Double,20,,15,35,XL Engine,Compra,NO
Arana ARA-S-1 Arana,40,Medio,3087,1092,2184966,5,8,0,Clan,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,"9,5",152,4,Estandar,Single,15,,15,15,Fusion Engine,Compra,NO
Arbalest 2 Arbalest,25,Ligero,3079,1098,2470416,5,8,0,Clan,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"5,6",89,2,Estandar,Double,20,,14,20,Fusion Engine,Compra,NO
Arbalest 3 Arbalest,25,Ligero,3081,921,2175416,5,8,0,Clan,,,,,,4,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"5,4",86,2,Ferro Fibroso,Double,20,,16,32,Fusion Engine,Compra,NO
Arbalest  Arbalest,25,Ligero,3077,1029,2500416,5,8,0,Clan,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"3,5",56,2,Estandar,Double,20,,18,30,Fusion Engine,Compra,NO
Arbiter ARB-001 SecurityMech Arbiter,35,Ligero,3074,507,1624607,5,8,0,Inner Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"5,0",80,2,Estandar,Single,1,,0,0,Fuel-Cell Engine,Compra,NO
Arcas 2 Arcas,65,Pesado,3061,2835,14520549,5,8,5,Clan,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,"13,2",211,2,Estandar,Double,36,,38,32,XL Engine,Compra,NO
Arcas 3 Arcas,65,Pesado,3078,2305,16455054,5,8,7,Clan,,,,,,,,,,2,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,15,"12,6",201,2,Ferro Fibroso,Double,30,,29,36,XL Engine,Compra,NO
Arcas  Arcas,65,Pesado,3061,2484,14742849,5,8,5,Clan,,,,,,,,2,,2,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,15,"13,2",211,2,Estandar,Double,30,,41,52,XL Engine,Compra,NO
Archangel C-ANG-O Archangel,100,Asalto,3069,2237,21785000,3,5,3,Inner Sphere,2,,,,,6,6,1,1,4,,,,,5,4,4,5,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,12,"19,2",307,2,Estandar,Double,24,,337,382,Compact Fusion Engine,Compra,NO
Archer (Wolf) Archer,70,Pesado,3055,2365,8354173,4,6,0,Clan,,,,,,,,2,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,"13,2",211,2,Ferro Fibroso,Double,30,,40,62,Fusion Engine,Compra,NO
Archer ARC-2K Archer,70,Pesado,2856,1356,6086773,4,6,0,Inner Sphere,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"11,0",176,2,Estandar,Single,12,,26,46,Fusion Engine,Compra,NO
Archer ARC-2R Salazar MKII Archer,70,Pesado,2474,1681,7100973,4,6,0,Inner Sphere,,,,4,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,"13,0",208,2,Estandar,Double,22,,24,60,Fusion Engine,Compra,NO
Archer ARC-2R Salazar MKIII Archer,70,Pesado,2474,1616,13703773,4,6,0,Inner Sphere,,,,6,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,"13,0",208,2,Estandar,Double,28,,30,70,XL Engine,Compra,NO
Archer ARC-2R Salazar Archer,70,Pesado,3070,1477,6300973,4,6,0,Inner Sphere,,,,4,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"13,0",208,2,Estandar,Single,10,,24,60,Fusion Engine,Compra,NO
Archer ARC-2R Archer,70,Pesado,2474,1477,6300973,4,6,0,Inner Sphere,,,,4,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"13,0",208,2,Estandar,Single,10,,24,60,Fusion Engine,Compra,NO
Archer ARC-2Rb Archer,70,Pesado,2750,1705,7176273,4,6,0,Inner Sphere,,,,3,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"13,5",216,2,Estandar,Double,20,,21,55,Fusion Engine,Compra,NO
Archer ARC-2S Archer,70,Pesado,2915,1393,6303973,4,6,0,Inner Sphere,,,,4,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"13,0",208,2,Estandar,Single,10,,28,66,Fusion Engine,Compra,NO
Archer ARC-2W Archer,70,Pesado,3010,1338,6344973,4,6,0,Inner Sphere,,,,2,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"10,0",160,2,Estandar,Single,10,,24,66,Fusion Engine,Compra,NO
Archer ARC-4M Archer,70,Pesado,3049,1705,7184273,4,6,0,Inner Sphere,,,,4,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"13,5",216,2,Estandar,Double,20,,24,60,Fusion Engine,Compra,NO
Archer ARC-4M2 Archer,70,Pesado,3150,1742,7456273,4,6,0,Inner Sphere,,,,,,,4,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"13,5",216,2,Estandar,Double,20,,32,60,Fusion Engine,Compra,NO
Archer ARC-5CS Archer,70,Pesado,3052,1609,14318473,4,6,0,Inner Sphere,,,,2,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,"11,5",184,2,Estandar,Double,22,,26,70,XL Engine,Compra,NO
Archer ARC-5R Archer,70,Pesado,3050,1672,7323673,4,6,0,Inner Sphere,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"11,5",184,2,Estandar,Double,24,,34,46,Fusion Engine,Compra,NO
Archer ARC-5S Archer,70,Pesado,3050,1353,13572973,4,6,0,Inner Sphere,,,,,,,,,,4,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"13,0",208,2,Estandar,Double,20,,30,62,XL Engine,Compra,NO
Archer ARC-5W Archer,70,Pesado,3050,1337,13578973,4,6,0,Inner Sphere,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"13,0",208,2,Estandar,Double,20,,18,56,XL Engine,Compra,NO
Archer ARC-6S Archer,70,Pesado,3067,1694,11677565,4,6,0,Inner Sphere,,,,2,,1,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"13,6",217,2,Estandar,Double,20,,24,61,Light Fusion Engine,Compra,NO
Archer ARC-6W Archer,70,Pesado,3067,1405,6044973,4,6,0,Inner Sphere,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,"13,6",217,2,Estandar,Single,20,,12,20,Fusion Engine,Compra,NO
Archer ARC-7C Archer,70,Pesado,3150,2408,18053106,5,8,0,Mixed,,,,,,,4,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,"13,0",208,2,Estandar,Double,28,,32,60,XL Engine,Compra,NO
Archer ARC-7L Archer,70,Pesado,3067,1914,7758270,3,5,3,Inner Sphere,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"12,5",200,2,Furtivo,Double,24,,22,50,Fusion Engine,Compra,NO
Archer ARC-7S Archer,70,Pesado,3070,1658,11753300,4,6,0,Inner Sphere,,,,,,,1,,1,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"13,6",217,2,Ferro Fibroso,Double,20,,23,56,Light Fusion Engine,Compra,NO
Archer ARC-8M Archer,70,Pesado,3067,1759,7425673,4,6,0,Inner Sphere,,,,,,,3,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"13,5",216,2,Estandar,Double,24,,37,53,Fusion Engine,Compra,NO
Archer ARC-9K Archer,70,Pesado,3071,1391,7213873,4,6,0,Inner Sphere,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,"13,5",216,2,Estandar,Double,26,,30,30,Fusion Engine,Compra,NO
Archer ARC-9KC Archer,70,Pesado,3089,1361,7519873,4,6,0,Inner Sphere,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,"13,5",216,2,Estandar,Double,26,,25,25,Fusion Engine,Compra,NO
Archer ARC-9M Archer,70,Pesado,3076,1811,11611640,3,5,5,Inner Sphere,,,,,,,2,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"11,6",186,2,Ferro Fibroso,Double,20,,40,60,Light Fusion Engine,Compra,NO
Archer ARC-9R Archer,70,Pesado,3150,1668,12446940,4,6,0,Inner Sphere,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"13,5",216,2,Estandar,Double,20,,20,40,Light Fusion Engine,Compra,NO
Archer ARC-9W Archer,70,Pesado,3078,1774,21317006,5,8,0,Inner Sphere,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"10,5",168,2,Estandar,Double,24,,34,46,XL Engine,Compra,NO
Archer C Archer,70,Pesado,3050,1883,6776973,4,6,0,Mixed,,,,,,,4,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,"13,0",208,2,Estandar,Single,20,,32,60,Fusion Engine,Compra,NO
Arctic Cheetah (Hankyu)  Arctic Cheetah (Hankyu),30,Ligero,3037,1334,7220237,8,12,6,Clan,8,2,,,,,7,1,1,5,,2,3,,,,,,4,2,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,10,"4,8",76,2,Ferro Fibroso,Double,20,,145,204,XL Engine,Compra,NO
Arctic Fox AF1 Arctic Fox,30,Ligero,3059,983,5085300,6,9,6,Inner Sphere,,,,3,,,5,,3,4,1,,,,5,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,"6,0",96,2,Estandar,Double,20,,162,198,XL Engine,Compra,NO
Arctic Wolf 2 Arctic Wolf,40,Medio,3060,1511,7397893,7,11,0,Clan,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"6,0",96,2,Estandar,Double,20,,26,57,XL Engine,Compra,NO
Arctic Wolf II  Arctic Wolf II,40,Medio,3085,2111,9828166,7,11,7,Clan,,,,,,,2,2,4,,1,,,,,,,,,,2,,,6,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"7,8",124,2,Ferro Fibroso,Double,20,,92,157,XL Engine,Compra,NO
Arctic Wolf  Arctic Wolf,40,Medio,3075,1641,9039500,6,9,6,Clan,,,,,,,,,2,,,,1,,,,,,,,2,,,,2,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,1,10,"8,4",134,2,Ferro Fibroso,Double,20,,64,150,XL Engine,Compra,NO
Argus AGS-2D Argus,60,Pesado,3062,1566,12124800,5,8,0,Inner Sphere,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,"11,0",176,2,Estandar,Double,26,,25,40,XL Engine,Compra,NO
Argus AGS-4D-BL Argus,60,Pesado,3061,1728,11931200,5,8,0,Inner Sphere,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,12,"11,5",184,2,Estandar,Double,24,,16,30,XL Engine,Compra,NO
Argus AGS-4D Argus,60,Pesado,3061,1638,11927700,5,8,0,Inner Sphere,,1,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,12,"12,0",192,2,Estandar,Double,24,,15,27,XL Engine,Compra,NO
Argus AGS-5D Argus,60,Pesado,3071,2065,13805600,5,8,0,Inner Sphere,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,11,"12,6",201,2,Ferro Fibroso,Double,22,,29,49,XL Engine,Compra,NO
